keyword,#Results,Link
"""Gulliver's Travels"" ""Jonathan Swift""",5607,https://www.coursehero.com/search/results/1215522171/6e737bdd74c5341b77/
"""The Giving Tree"" ""Shel Silverstein""",862,https://www.coursehero.com/search/results/1215522253/3c0819053d307cc81c/
"""World War Z"" ""Max Brooks""",517,https://www.coursehero.com/search/results/1215522331/8fa991b2d1b227668d/
"""The White Tiger"" ""Aravind Adiga""",520,https://www.coursehero.com/search/results/1215522436/f8a9c8b326c8264a0f/
"""Fantastic Mr Fox"" ""Roald Dahl""",301,https://www.coursehero.com/search/results/1215522521/e0f18e6e7d90a0f7a9/
"""Barracoon: The Story of the Last ""Black Cargo"""" ""Zora Neale Hurston""",,https://www.coursehero.com/search/results/1215522626/ca2205f48260a93079/
"""Water For Elephants"" ""Sara Gruen""",191,https://www.coursehero.com/search/results/1215522807/06914bad287ac563d4/
"""Maniac Magee"" ""Jerry Spinelli""",184,https://www.coursehero.com/search/results/1215523189/17c0f05c65e2969a1f/
"""A Single Shard"" ""Linda Sue Park""",127,https://www.coursehero.com/search/results/1215523294/2ce1f9b2854fd4d8d0/
"""All Creatures Great and Small"" ""James Herriot""",113,https://www.coursehero.com/search/results/1215523389/e94dec08fbb4593590/
"""Winter In The Blood"" ""James Welch""",91,https://www.coursehero.com/search/results/1215523468/6f6e4306cf510c1532/
"""West with Giraffes"" ""Lynda Rutledge""",,https://www.coursehero.com/search/results/1215523545/c4290a3a018cfab705/
"""The Cross and the Lynching Tree"" ""James H. Cone""",64,https://www.coursehero.com/search/results/1215523762/cf60b02493efa55d24/
"""The Elegance of the Hedgehog"" ""Muriel Barbery""",62,https://www.coursehero.com/search/results/1215523869/242fa0ade982e98fdf/
"""Motorcycles and Sweetgrass"" ""Drew Hayden Taylor""",46,https://www.coursehero.com/search/results/1215523939/afe79c53aa85055cde/
"""Ragged Company"" ""Richard Wagamese""",17,https://www.coursehero.com/search/results/1215524033/3035085b1494226a1d/
"""Neither Wolf Nor Dog"" ""Kent Nerburn""",14,https://www.coursehero.com/search/results/1215524112/72619346911837c711/
"""Romancing Mister Bridgerton"" ""Julia Quinn""",14,https://www.coursehero.com/search/results/1215524205/62e5db52463c70919d/
"""Hood Feminism"" ""Mikki Kendall""",65,https://www.coursehero.com/search/results/1215524328/b3beca88dde52ffdce/
"""Hamnet"" ""Maggie O'Farrell""",40,https://www.coursehero.com/search/results/1215524446/84b2e8d5ff8977db82/
"""Ghost Boys"" ""Jewell Parker Rhodes""",21,https://www.coursehero.com/search/results/1215524537/31588ee353f1379fe1/
"""Harbor Me"" ""Jacqueline Woodson""",10,https://www.coursehero.com/search/results/1215524627/ef099ef28358716f45/
"""This Tender Land"" ""William Kent Krueger""",30,https://www.coursehero.com/search/results/1215524730/b8b9dfdb22d1eb3d3e/
"""Red Rising"" ""Pierce Brown""",73,https://www.coursehero.com/search/results/1215524885/d9eb684baf5d838c03/
"""I Am Not Your Perfect Mexican Daughter"" ""Erika L. Sanchez""",81,https://www.coursehero.com/search/results/1215524994/4fba8d9aa09e5d5f15/
"""The Year of the Flood"" ""Margaret Atwood""",207,https://www.coursehero.com/search/results/1215525098/d0178db023eb1af4e4/
"""Red at the Bone"" ""Jacqueline Woodson""",25,https://www.coursehero.com/search/results/1215525206/e01eb8c687d2eb482d/
"""The Boys in the Boat"" ""Daniel James Brown""",162,https://www.coursehero.com/search/results/1215525302/6da816440b28363fdb/
"""Crazy Brave"" ""Joy Harjo""",48,https://www.coursehero.com/search/results/1215525392/2420d58fe40e779621/
"""Red Scarf Girl"" ""Ji-li Jiang""",106,https://www.coursehero.com/search/results/1215525528/eed5bc0a647e5687c6/
"""Bodega Dreams"" ""Ernesto Quiñonez""",98,https://www.coursehero.com/search/results/1215525626/5b9bfef19a719272d0/
"""The Night Circus"" ""Erin Morgenstern""",,https://www.coursehero.com/search/results/?stx=%22The%20Night%20Circus%22%20%22Erin%20Morgenstern%22&filters_product=all&searchTrigger=homepage
"""Indian Killer"" ""Sherman Alexie""",145,https://www.coursehero.com/search/results/1215525866/d1074a9ffcc8b93d92/
"""Hotel on the Corner of Bitter and Sweet"" ""Jamie Ford""",87,https://www.coursehero.com/search/results/1215525963/db1494488b5dd25ff4/
"""Chasing Lincoln's Killer"" ""James L. Swanson""",30,https://www.coursehero.com/search/results/1215526058/15e1cb4c1aab13ee4c/
"""Copper Sun"" ""Sharon M. Draper""",41,https://www.coursehero.com/search/results/1215526155/62bb80e902d745dc1e/
"""Gathering Blue"" ""Lois Lowry""",110,https://www.coursehero.com/search/results/1215526245/1cf07ec39acc047782/
"""A Visit from the Goon Squad"" ""Jennifer Egan""",237,https://www.coursehero.com/search/results/1215526370/21eae7a8c3da23eba4/
"""Between Shades of Gray"" ""Ruta Sepetys""",92,https://www.coursehero.com/search/results/1215526485/4a2f776835ab92406b/
"""Jasmine"" ""Bharati Mukherjee""",270,https://www.coursehero.com/search/results/1215526558/e3323797adeb61001e/
"""The Hero with a Thousand Faces"" ""Joseph Campbell""",2399,https://www.coursehero.com/search/results/1215526651/c384b990ec91b0e1c8/
"""The Demon in the Freezer"" ""Richard Preston""",101,https://www.coursehero.com/search/results/1215526912/2b3819afbbbbc20532/
"""America is in the Heart"" ""Carlos Bulosan""",981,https://www.coursehero.com/search/results/1215526997/4f4253898233a557a9/
"""Salem Possessed"" ""Paul S. Boyer""",4,https://www.coursehero.com/search/results/1215527089/a85b8b5ec4c6c3a035/
"""The Warmth Of Other Suns"" ""Isabel Wilkerson""",389,https://www.coursehero.com/search/results/1215527164/9b944fcb406ccb4513/
"""The Guns Of August"" ""Barbara W. Tuchman""",104,https://www.coursehero.com/search/results/1215527260/03e3e420e72e1300c8/
"""The Lemon Tree"" ""Sandy Tolan""",55,https://www.coursehero.com/search/results/1215527350/7166243df87e428aca/
"""Nisei Daughter"" ""Monica Sone""",88,https://www.coursehero.com/search/results/1215527433/bdcf957eb25b5552c0/
"""The Buddha in the Attic"" ""Julie Otsuka""",93,https://www.coursehero.com/search/results/1215527555/1b62385e87084147c2/
"""The Cat in the Hat"" ""Dr. Seuss""",1762,https://www.coursehero.com/search/results/1215527666/bfeb3cd17041bda814/
"""American Indian Stories"" ""Zitkála-Šá""",253,https://www.coursehero.com/search/results/1215527752/bd97ca361a0c8f8ae6/
"""The Diary of a Young Girl"" ""Anne Frank""",1933,https://www.coursehero.com/search/results/1215527860/616046232ce061659e/
"""Scratch Beginnings"" ""Adam Shepard""",32,https://www.coursehero.com/search/results/1215527961/bcd86ebccdd27d267b/
"""Hatchet"" ""Gary Paulsen""",569,https://www.coursehero.com/search/results/1215528047/65b5948679976b8d07/
"""Red Queen"" ""Victoria Aveyard""",176,https://www.coursehero.com/search/results/1215528172/f29a39121861771da9/
"""The Custom of the Country"" ""Edith Wharton""",162,https://www.coursehero.com/search/results/1215528254/9558855982ddbe6cf0/
"""Rules"" ""Cynthia Lord""",115,https://www.coursehero.com/search/results/1215528389/739a4a9af57118f804/
"""Wild Swans"" ""Jung Chang""",359,https://www.coursehero.com/search/results/1215528506/a3e7344bf37c3d9d76/
"""American Born Chinese"" ""Gene Luen Yang""",535,https://www.coursehero.com/search/results/1215528590/d3ff6f82eccd8c914e/
"""Tangerine"" ""Edward Bloor""",130,https://www.coursehero.com/search/results/1215528696/67fbc68242f8212e3b/
"""Touching Spirit Bear"" ""Ben Mikaelsen""",90,https://www.coursehero.com/search/results/1215528800/b8bc40d7977f328dcc/
"""Caleb Williams"" ""William Godwin""",361,https://www.coursehero.com/search/results/1215528891/443b3f55ec0f35c580/
"""Tropic of Orange"" ""Karen Tei Yamashita""",94,https://www.coursehero.com/search/results/1215528962/a8f63eefda5b95f234/
