keyword,#Results,Link
"""Gulliver's Travels"" ""Jonathan Swift""",5625.0,https://www.coursehero.com/search/results/1216629026/0c2cb42521f38ab703/
"""The Giving Tree"" ""Shel Silverstein""",862.0,https://www.coursehero.com/search/results/1216629207/f43652be18c1666c8a/
"""World War Z"" ""Max Brooks""",517.0,https://www.coursehero.com/search/results/1216629352/9ae9d906c6c8ac55ef/
"""The White Tiger"" ""Aravind Adiga""",520.0,https://www.coursehero.com/search/results/1216629862/41bcdd686499af3366/
"""Fantastic Mr Fox"" ""Roald Dahl""",301.0,https://www.coursehero.com/search/results/1216630005/928a217d1a36f7f39c/
"""Barracoon: The Story of the Last ""Black Cargo"""" ""Zora Neale Hurston""",,https://www.coursehero.com/search/results/1216630151/4a249245c9d360a36f/
"""Water For Elephants"" ""Sara Gruen""",191.0,https://www.coursehero.com/search/results/1216630421/a103f3f297e2bdce9c/
"""Maniac Magee"" ""Jerry Spinelli""",184.0,https://www.coursehero.com/search/results/1216630575/723f3c9bcc3e481edd/
"""A Single Shard"" ""Linda Sue Park""",127.0,https://www.coursehero.com/search/results/1216630738/cb8408db054f8a2f2a/
"""All Creatures Great and Small"" ""James Herriot""",113.0,https://www.coursehero.com/search/results/1216630908/ddace4d74026b3cac5/
"""Winter In The Blood"" ""James Welch""",92.0,https://www.coursehero.com/search/results/1216631054/51b6f19f6adc1a1af1/
"""West with Giraffes"" ""Lynda Rutledge""",,https://www.coursehero.com/search/results/1216631213/8f2b69229ec28279f1/
"""The Cross and the Lynching Tree"" ""James H. Cone""",64.0,https://www.coursehero.com/search/results/1216631501/9b2bc48d85d5337106/
"""The Elegance of the Hedgehog"" ""Muriel Barbery""",62.0,https://www.coursehero.com/search/results/1216631678/7068ba1e0cc3ce7891/
"""Motorcycles and Sweetgrass"" ""Drew Hayden Taylor""",47.0,https://www.coursehero.com/search/results/1216631836/05926b2256ae8d34de/
"""Ragged Company"" ""Richard Wagamese""",17.0,https://www.coursehero.com/search/results/1216631976/6dc121955a70551992/
"""Neither Wolf Nor Dog"" ""Kent Nerburn""",14.0,https://www.coursehero.com/search/results/1216632120/e04ffe5f90a851058d/
"""Romancing Mister Bridgerton"" ""Julia Quinn""",14.0,https://www.coursehero.com/search/results/1216632280/a9f37cd85b054c5862/
"""Hood Feminism"" ""Mikki Kendall""",65.0,https://www.coursehero.com/search/results/1216632463/8be114c426732cb6f9/
